,重点符号,序号,英文原型,词性,中文释义,音标
1264,*,40.0,examine,v.,检查；诊察,[ɪɡˈzæmɪn]
1265,*,41.0,recite,v.,背诵,[rɪˈsaɪt]
1266,*,42.0,retell,v.,重讲，重复，复述,[ˌriːˈtel]
1267,*,43.0,simple,adj.,简单的，简易的,[ˈsɪmpl]
1268,*,44.0,test,v.,测试，试验，检验,[test]
1269,,1.0,exam,n.,考试，测试；检查；审查,[ɪɡˈzæm]
1270,,2.0,text,v.&n.,文本，课文,[tekst]
1271,*,3.0,level,n.,水平，水平线,[ˈlevl]
1272,*,4.0,standard,n.&adj.,标准;标准（的）,[ˈstændəd]
1273,,5.0,score,n.,成绩；分数,[skɔː(r)]
1274,,6.0,result,n.,结果，效果,[rɪˈzʌlt]
1275,*,7.0,competition,n.,比赛，竞赛；竞争,[ˌkɒmpəˈtɪʃn]
1276,,8.0,prize,n.,奖品，奖赏,[praɪz]
1277,*,9.0,creative,adj.,创造性的,[kriˈeɪtɪv]
1278,*,10.0,speech,n.,演讲,[spiːtʃ]
1279,,11.0,discuss,v.,讨论，议论,[dɪˈskʌs]
1280,,12.0,fail,v.,失败；不及格；衰退,[feɪl]
1281,,13.0,lose,v.,失去，丢失,[luːz]
1282,,14.0,pass,v.,通过；传，递；经过,[pɑːs]
1283,,15.0,improve,v.,改进，更新,[ɪmˈpruːv]
1284,,16.0,reply,n.&v.,回答，答复,[rɪˈplaɪ]
1285,*,17.0,repeat,v.,重说，重做,[rɪˈpiːt]
1286,,18.0,check,v.,校对，核对；检查；批改,[tʃek]
1287,,19.0,term,n.,学期；术语；条款；项,[tɜːm]
1288,,1.0, season,n.,季节,[ˈsiːzn]
1289,,2.0, spring,n.,春季；春天,[sprɪŋ]
1290,,3.0, summer,n.,夏季；夏天,[ˈsʌmə(r)]
1291,,4.0, autumn,n.,秋季；秋天,[ˈɔːtəm]
1292,,5.0, winter,n.,冬季；冬天,[ˈwɪntə(r)]
1293,,1.0,life,n.,生命；生涯；生活；人生；生物,[laɪf]
1294,,2.0,pet,n.,宠物，爱畜,[pet]
1295,,3.0,animal,n.,动物,[ˈænɪml]
1296,*,4.0,ant,n.,蚂蚁,[ænt]
1297,,5.0,panda,n.,熊猫,[ˈpændə]
1298,,6.0,tiger,n.,老虎,[ˈtaɪɡə(r)]
1299,,7.0,lion,n.,狮子,[ˈlaɪən]
1300,,8.0,elephant,n.,象,[ˈelɪfənt]
1301,,9.0,fox,n.,狐狸,[fɒks]
1302,*,10.0,giraffe,n.,长颈鹿,[dʒəˈrɑːf]
1303,,11.0,bear,n.,熊,[beə(r)]
1304,,12.0,monkey,n.,猴子,[ˈmʌŋki]
1305,,13.0,snake,n.,蛇,[sneɪk]
1306,,14.0,bee,n.,蜜蜂,[biː]
1307,,15.0,mouse,n.,鼠，耗子;（计算机）鼠标,[maʊs]
1308,,16.0,bird,n.,鸟,[bɜːd]
1309,,17.0,cow,n.,奶牛，母牛,[kaʊ]
1310,,18.0,dog,n.,狗,[dɒɡ]
1311,,19.0,hen,n.,母鸡,[hen]
1312,,20.0,duck,n.,鸭子,[dʌk]
1313,,21.0,cat,n.,猫,[kæt]
1314,,22.0,sheep,n.,（绵）羊,[ʃiːp]
1315,,23.0,pig,n.,猪,[pɪɡ]
1316,,24.0,horse,n.,马,[hɔːs]
1317,,25.0,rabbit,n.,兔;家兔,[ˈræbɪt]
1318,,26.0,tail,n.,（动物的）尾巴,[teɪl]
1319,*,27.0,wing,n.,机翼，翅膀,[wɪŋ]
1320,*,28.0,butterfly,n.,蝴蝶,[ˈbʌtəflaɪ]
1321,,29.0,cock,n.,公鸡,[kɒk]
1322,,30.0,camel,n.,骆驼,[ˈkæml]
1323,,31.0,deer,n.,鹿,[dɪə(r)]
1324,*,32.0,frog,n.,青蛙,[frɒɡ]
1325,,33.0,goat,n.,山羊,[ɡəʊt]
1326,,34.0,goose,n.,鹅,[ɡuːs]
1327,*,35.0,lamb,n.,羔羊,[læm]
1328,*,36.0,whale,n.,鲸,[weɪl]
1329,*,37.0,wolf,n.,狼,[wʊlf]
1330,,38.0,rat,n.,老鼠,[ræt]
1331,*,39.0,zebra,n.,斑马,[ˈzebrə]
1332,,11.0,tree,n.,树,[triː]
1333,,2.0,plant,n.&v.,种植；播种,[plɑːnt]
1334,,3.0,stick,n.,枝条；木棒（棍）,[stɪk]
1335,,4.0,fruit,n.,水果；果实,[fruːt]
1336,,5.0,apple,n.,苹果,[ˈæpl]
1337,,6.0,banana,n.,香蕉,[bəˈnɑːnə]
1338,,7.0,pear,n.,梨子；梨树,[peə(r)]
1339,,8.0,orange,n.,橘子；橙子；橘汁,[ˈɒrɪndʒ]
1340,,9.0,grape,n.,葡萄,[ɡreɪp]
1341,,10.0,lemon,n.,柠檬,[ˈlemən]
1342,,11.0,grass,n.,草；草场；牧草,[ɡrɑːs]
1343,,12.0,bamboo,n.,竹,[ˌbæmˈbuː]
1344,,13.0,flower,n.,花,[ˈflaʊə(r)]
1345,*,14.0,rose,n.,玫瑰,[rəʊz]
1346,,15.0,leaf,n.,树叶；菜叶,[liːf]
1347,,1.0,burn,v.,着火，燃，烧；使烧焦……；使晒黑,[bɜːn]
1348,,2.0,fire,n.,火灾,[ˈfaɪə(r)]
1349,,1.0,natural,adj.,自然的,[ˈnætʃrəl]
1350,,2.0,forest,n.,森林,[ˈfɒrɪst]
1351,,3.0,wood,n.,（复 woods）树木，森林；木头，树；木材,[wʊd]
1352,,4.0,mountain,n.,山，山脉,[ˈmaʊntən]
1353,,5.0,hill,n.,小山；丘陵；土堆；斜坡,[hɪl]
1354,,6.0,island,n.,岛,[ˈaɪlənd]
1355,*,7.0,coast,n.,海岸；海滨,[kəʊst]
1356,,8.0,rock,n.,岩石，大石头,[rɒk]
1357,,9.0,ground,n.,地面,[ɡraʊnd]
1358,,10.0,land,n.,陆地；土地 v. 登岸（陆）；降落,[lænd]
1359,,11.0,river,n.,江；河；巨流；水道,[ˈrɪvə(r)]
1360,,12.0,lake,n.,湖,[leɪk]
1361,,13.0,pool,n.,水塘，水池,[puːl]
1362,,14.0,bank,n.,(河，海，湖的）岸，堤；银行,[bæŋk]
1363,,15.0,stone,n.,石头；石,[stəʊn]
1364,,17.0,ocean,n.,海洋,[ˈəʊʃn]
1365,,18.0,sea,n.,海洋,[siː]
1366,,19.0,beach,n.,海滩,[biːtʃ]
1367,,20.0,ice,n.,冰,[aɪs]
1368,,21.0,sand,n.,沙子，沙,[sænd]
1369,,22.0,shelf,n.,搁板；架子,[ʃelf]
1370,,23.0,area,n.,面积；地域；区域；地方；范围；领域,[ˈeəriə]
1371,,24.0,hole,n.,洞，坑,[həʊl]
1372,,25.0,coal,n.,煤；煤块,[kəʊl]
1373,,26.0,oil,n.,油,[ɔɪl]
1374,,27.0,Atlantic,adj.,大西洋的,[ətˈlæntɪk]
1375,*,28.0,edge,n.,边缘,[edʒ]
1376,,29.0,freeze,v.,"(froze, frozen)结冰",[friːz]
1377,*,30.0,smooth,adj.,光滑的；平坦的,[smuːð]
1378,*,31.0,stream,n.,小河；溪流,[striːm]
1379,,1.0,sky,n.,天空；天,[skaɪ]
1380,,2.0,air,n.,空气；大气,[eə(r)]
1381,,3.0,cloud,n.,云；云状物；阴影,[klaʊd]
1382,,4.0,sun,n.,太阳；阳光,[sʌn]
1383,,5.0,moon,n.,月球；月光；月状物,[muːn]
1384,,6.0,star,n.,星，恒星,[stɑː(r)]
1385,,7.0,earth,n.,地球；土，泥；大地,[ɜːθ]
1386,,8.0,planet,n.,行星，星球,[ˈplænɪt]
1387,*,9.0,space,n.,空间,[speɪs]
1388,,10.0,pull,n.,拉力，引力,[pʊl]
1389,,11.0,communication,n.,通讯；交往；交际,[kəˌmjuːnɪˈkeɪʃn]
1390,*,12.0,mobile,adj.,可移动的,[ˈməʊbaɪl]
1391,,13.0,model,n.,模型；范例；模范,[ˈmɒdl]
1392,,14.0,modern,adj.,现代的,[ˈmɒdn]
1393,,1.0,population,n.,人口，人数；洲、国家,[ˌpɒpjuˈleɪʃn]
1394,,2.0,world,n.,世界,[wɜːld]
1395,,3.0,country,n.,国家；农村，乡下,[ˈkʌntri]
1396,,4.0,foreign,adj.,外国的,[ˈfɒrən]
1397,,5.0,Asia,n.,亚洲,['eɪʒə]
1398,*,6.0,Asian,adj.,亚洲的，亚洲人的 n. 亚洲人,[ˈeɪʃn]
1399,,7.0,Africa,n.,非洲,['æfrɪkə]
1400,,8.0,Europe,n.,欧洲,[ˈjʊərəp]
1401,,9.0,European,adj.,欧洲的，欧洲人的 n. 欧洲人,[ˌjʊərəˈpiːən]
1402,,10.0,China,n.,中国,[ˈtʃaɪnə]
1403,,11.0,Chinese,adj.,中国的；中国人的；中国话的，汉语的 n. 中国人；中,[ˌtʃaɪˈniːz]
1404,,12.0,America,n.,美国；美洲,[əˈmerɪkə]
1405,,13.0,American,adj.,美国的；美国人的 n. 美国人,[əˈmerɪkən]
1406,,15.0,Japan,n.,日本,[dʒə'pæn]
1407,,16.0,Japanese,adj.,日本的，日本人的，日语的 n. 日本人；日语,[ˌdʒæpəˈniːz]
1408,,17.0,Australia,n.,澳洲，澳大利亚,[ɒˈstreɪliə]
1409,,18.0,Australian,adj.,澳洲的；澳大利亚的 n. 澳大利亚人,[ɒˈstreɪliən]
1410,*,19.0,Britain,n.,英国；不列颠,[ˈbrɪtn]
1411,,20.0,British,adj.,英语的；大不列颠的；英国人的 n. 英国人,[ˈbrɪtɪʃ]
1412,,21.0,England,n.,英格兰,[ˈɪŋɡlənd]
1413,,22.0,English,adj.,英国的，英国人的，英语的 n. 英国人；英语,[ˈɪŋɡlɪʃ]
1414,,23.0,London,n.,伦敦,[ˈlʌndən]
1415,,24.0,German,n.,德国人，德语,[ˈdʒɜːmən]
1416,,25.0,Germany,n.,德国人,[ˈdʒɜːməni]
1417,,26.0,France,n.,法国,[ˈfrɑːns]
1418,,27.0,French,n.,法语 adj. 法国人的；法语的,[frentʃ]
1419,*,28.0,Russia,n.,俄罗斯，俄国,['rʌʃə]
1420,,29.0,Russian,adj.,俄国人的，俄语的 n. 俄国人；俄语,[ˈrʌʃn]
1421,,30.0,Canada,n.,加拿大,[ˈkænədə]
1422,,31.0,India,n.,印度,[ˈɪndɪə]
1423,,32.0,Indian,adj.,(美洲)印第安人的；印度人的 n. 印第安人,[ˈɪndiən]
1424,,33.0,Italy,n.,意大利,['ɪtəlɪ]
1425,,35.0,country,n.,国家；农村；乡下,[ˈkʌntri]
1426,,36.0,state,n.,国家；（美国的）州；状态；情形,[steɪt]
1427,,37.0,city,n.,城市，市，都市,[ˈsɪti]
1428,,38.0,capital,n.,首都，省会；大写；资本,[ˈkæpɪtl]
1429,*,39.0,international,adj.,国际的,[ˌɪntəˈnæʃnəl]
1430,,40.0,national,adj.,国家的，民族的，全国性的,[ˈnæʃnəl]
1431,,41.0,race,n.,赛跑，竞赛,[reɪs]
1432,,42.0,foreigner,n.,外国人,[ˈfɒrənə(r)]
1433,,43.0,Frenchman,n.,法国（男）人,[ˈfrentʃmən]
1435,,45.0,Paris,n.,巴黎,[ˈpærɪs]
1436,*,1.0,environment,n.,环境,[ɪnˈvaɪrənmənt]
1437,,2.0,clean,adj.,干净的，清洁的,[kliːn]
1438,,3.0,clear,adj.,明亮的；清楚的；清晰的,[klɪə(r)]
1439,,4.0,dirty,adj.,脏的,[ˈdɜːti]
1440,,5.0,tidy,adj.,整洁的，干净的,[ˈtaɪdi]
1441,,6.0,litter,v.,乱丢垃圾 n. 垃圾,[ˈlɪtə(r)]
1442,,7.0,noise,n.,噪声，声音，喧闹声,[nɔɪz]
1443,,8.0,noisy,adj.,喧闹的；嘈杂的,[ˈnɔɪzi]
1444,*,9.0,pollution,n.,污染,[pəˈluːʃn]
1445,,10.0,rubbish,n.,垃圾；废物,[ˈrʌbɪʃ]
1446,,11.0,waste,n.&, vt. 浪费,[weɪst]
1447,*,12.0,peace,n.,和平,[piːs]
1448,*,14.0,pond,n.,池塘,[pɒnd]
1449,,15.0,situation,n.,形势，情况,[ˌsɪtʃuˈeɪʃn]
1450,*,16.0,solid,adj.,结实的，固体的,[ˈsɒlɪd]
1451,,1.0,count,v.,数，点数,[kaʊnt]
1452,,2.0,half,adj.,一半的，不完全的，半途的,[hɑːf]
1453,,37.0,add,v.,添加，增加,[æd]
1454,,38.0,increase,v.&n.,增加，繁殖,"[ɪnˈkriːs , ˈɪŋkriːs]"
1455,,1.0,order,n.,顺序；命令；订购；订单,[ˈɔːdə(r)]
1458,,14.0,then,adv.,然后；当时，那时；那么（通常用于句首或句尾）,[ðen]
1459,,15.0,next,adv.,随后，然后，下一步,[nekst]
1460,,16.0,turn,n.,轮流，（轮流的）顺序 v.旋转；翻转,[tɜːn]
1461,,19.0,begin,v.,开始，着手,[bɪˈɡɪn]
1462,,20.0,start,v.,开始，着手；出发,[stɑːt]
1463,,21.0,end,n.,末点；终点,[end]
1464,,22.0,finish,v.,结束；做完,[ˈfɪnɪʃ]
1465,,1.0,kind,n.,种；类,[kaɪnd]
1466,,4.0,kilo,n.,千克,[ˈkiːləʊ]
1467,,5.0,size,n.,尺寸，大小,[saɪz]
1468,,6.0,copy,n.,一本（份、册……）；抄本，副本,[ˈkɒpi]
1469,,7.0,piece,n.,一块（片，张，件……）,[piːs]
1470,,8.0,pair,n.,一双，一对,[peə(r)]
1471,,9.0,weight,n.,重，重量,[weɪt]
1472,,10.0,height,n.,高，高度,[haɪt]
1473,*,11.0,inch,n.,英寸,[ɪntʃ]
1474,,1.0,point,n.,点；分数,[pɔɪnt]
1475,,2.0,quarter,n.,四分之一，一刻钟,[ˈkwɔːtə(r)]
1477,,6.0,bit,n.,一点，一些，少量的,[bɪt]
1478,,8.0,little,adj.,小的，少的,[ˈlɪtl]
1480,,12.0,many,adj.,许多的,[ˈmeni]
1481,,13.0,much,adj.&adv.,大量的，许多的；很，非常，更加,[mʌtʃ]
1482,*,15.0,plenty,n.,充足，大量,[ˈplenti]
1483,*,19.0,percent,n.,百分之……,[pəˈsɛnt]
1484,,20.0,double,adj.&n.,两倍的；双（的）,[ˈdʌbl]
1485,,21.0,single,adj.,单个的；单一的,[ˈsɪŋɡl]
1486,,22.0,enough,adv.,足够地；充足地 adj. 足够的；充足的,[ɪˈnʌf]
1487,,23.0,only,adj.,仅仅，只，才,[ˈəʊnli]
1488,,24.0,group,n.,组，群,[ɡruːp]
1489,,25.0,team,n.,队，组,[tiːm]
1490,,26.0,line,n.,排，行，线路，绳索，线,[laɪn]
1491,,27.0,twice,adv.,两倍；两次,[twaɪs]
1492,*,28.0,dozen,n.,十二个；几十，许多,[ˈdʌzn]
1493,,29.0,least,n.,最少，最少量,[liːst]
1494,*,30.0,package,n.,(尤指包装好或密封的容器)一包，一袋，一盒,[ˈpækɪdʒ]
1495,,1.0,metre,n.,米，公尺,[ˈmiːtə(r)]
1496,,2.0,kilometre ,n.,千米,[kɪˈlɒmɪtə(r)]
1497,,3.0,mile,n.,英里,[maɪl]
1498,,4.0,far,adj.&adv.,远的；远地,[fɑː(r)]
1499,,6.0,near,adj.,近的；附近的 adv. 附近，邻近,[nɪə(r)]
1500,,7.0,from,prep.,距；来自；从；从……起,[frəm]
1501,,11.0,reach,v.,到达；伸出（手、脚等）,[riːtʃ]
1502,,13.0,fast,adj.,快的，迅速的；紧密的,[fɑːst]
1503,,14.0,rapid,adj.,迅速的，快的,[ˈræpɪd]
1504,,15.0,quick,adj.,快的；敏捷的；急剧的,[kwɪk]
1505,,16.0,quickly,adv.,快地,[ˈkwɪkli]
1506,,17.0,slow,adj.,慢的，迟钝的，不活跃的；缓慢的,[sləʊ]
1507,,18.0,slowly,adv.,慢慢地；缓慢地,[ˈsləʊli]
1508,,19.0,fast,adj.&adv.,快的（地），迅速的（地），紧密的（地）,[fɑːst]
1509,,20.0,away,adv.,离开；远离,[əˈweɪ]
1510,*,21.0,immediately,adv.,立即,[ɪˈmiːdiətli]
1511,,22.0,speed,n.,速度,[spiːd]
1512,,1.0,nearly,adv.,将近，几乎,[ˈnɪəli]
1513,,2.0,almost,adv.,几乎，差不多,[ˈɔːlməʊst]
1514,*,3.0,seldom,adv.,很少，不常,[ˈseldəm]
1515,,4.0,about,adv.,大约（＝around）,[əˈbaʊt]
1516,,5.0,also,adv.,也,[ˈɔːlsəʊ]
1517,,6.0,too,adv.,也；还,[tuː]
1518,,7.0,yet,adv.,(用于否定句或短语后)也,[jet]
1519,,1.0,engineer,n.,工程师；技师,[ˌendʒɪˈnɪə(r)]
1520,,3.0,invention,n.,发明，创造,[ɪnˈvenʃn]
1521,,4.0,machine,n.,机器,[məˈʃiːn]
1522,,5.0,technology,n.,技术,[tekˈnɒlədʒi]
1523,,6.0,science,n.,科学，自然科学,[ˈsaɪəns]
1524,,7.0,scientific,adj.,科学的,[ˌsaɪənˈtɪfɪk]
1525,,8.0,scientist,n.,科学家,[ˈsaɪəntɪst]
1526,*,9.0,X ray,n.,X 射线,[ˈeks reɪ]
1527,*,10.0,clone,n.,克隆（无性繁殖出来的有机群体）,[kləʊn]
1528,*,12.0,spaceship,n.,宇宙飞船,[ˈspeɪsʃɪp]
1529,*,1.0,social,adj.,社会的；社交的,[ˈsəʊʃl]
1530,,2.0,society,n.,社会,[səˈsaɪəti]
1531,,3.0,ancient,adj.,古代的；古老的,[ˈeɪnʃənt]
1532,*,4.0,spread,v.,延伸；展开,[spred]
1533,,5.0,culture,n.,文化,[ˈkʌltʃə(r)]
1534,*,6.0,traditional,adj.,传统的，惯例的,[trəˈdɪʃənl]
1535,,7.0,war,n.,战争,[wɔː(r)]
1536,,1.0,question,n.,问题,[ˈkwestʃən]
1537,,2.0,answer,v.&n.,回答,[ˈɑːnsə(r)]
1538,,3.0,key,n.,答案；钥匙,[kiː]
1539,,4.0,reply,n.,回答，答复,[rɪˈplaɪ]
1540,,5.0,ask,v.,询问，问；请求，要求；邀请,[ɑːsk]
1541,,6.0,problem,n.,问题，难题,[ˈprɒbləm]
1542,,7.0,trouble,n.,问题，麻烦，疾病，烦恼,[ˈtrʌbl]
1543,,1.0,already,adv.,已经,[ɔːlˈredi]
1544,,2.0,ever,adv.,曾经；无论何时,[ˈevə(r)]
1545,,3.0,still,adv.,仍然，还,[stɪl]
1546,,4.0,yet,adv.,尚，还，仍然,[jet]
1547,,5.0,never,adv.,决不，从来没有,[ˈnevə(r)]
1548,,6.0,very,adv.,很，非常,[ˈveri]
1549,,7.0,rather,adv.,相当；宁可,"[ˈrɑːðə(r) , ˌrɑːˈðɜː(r)]"
1550,,8.0,quite,adv.,完全，十分,[kwaɪt]
1551,,9.0,even,adv.,甚至，连（……都）；更,[ˈiːvn]
1552,,10.0,too,adv.,太过分；很；非常，也，还；又,[tuː]
1553,,11.0,just,adv.,恰好；仅；刚才；不过,[dʒʌst]
1554,,12.0,only,adv.,仅仅，只，才,[ˈəʊnli]
1555,,13.0,so,adv.,如此；这么,[səʊ]
1556,,14.0,such,adv.,那么,[sʌtʃ]
1557,,15.0,like,prep.,像，跟……一样,[laɪk]
1558,,1.0,drop,v.,落下；掉下；投递；放弃,[drɒp]
1559,,2.0,try,v.,试图，试，努力,[traɪ]
1560,,3.0,join,v.,参加，加入；连接；会合,[dʒɔɪn]
1561,,4.0,cheer,n.&, vi. 欢呼；喝彩,[tʃɪə(r)]
1562,,6.0,exercise,n.&, vt. 锻炼，做操，练习，习题,[ˈeksəsaɪz]
1563,,1.0,win,v.,获胜，赢得,[wɪn]
1564,,2.0,winner,n.,获胜者,[ˈwɪnə(r)]
1565,*,3.0,victory,n.,胜利,[ˈvɪktəri]
1566,,4.0,beat,v.,敲打；跳动；打赢,[biːt]
1567,,6.0,success,n.,成功,[səkˈses]
1568,,7.0,successful,adj.,成功的，有成就的,[səkˈsesfl]
1569,,8.0,fail,v.,失败；不及格；衰退,[feɪl]
1570,,10.0,pass,v.,通过；传递；经过,[pɑːs]
1571,*,11.0,realise,v.,实现；认识到,[ˈrɪəlaɪz]
1572,,1.0,because,conj.,因为,[bɪˈkɒz]
1573,,4.0,cause,n.,原因，起因,[kɔːz]
1574,,6.0,fact,n.,事实，现实,[fækt]
1575,,7.0,real,adj.,真实的，确实的,[ˈriːəl]
1576,,8.0,true,adj.,真的，真实的；忠诚的,[truː]
1577,,9.0,truth,n.,真理，事实，真相，实际情况,[truːθ]
1578,,10.0,for,prep.,为了……；向……；在……；与……交换；适合……；因为……；,"[fɔː(r) , fə(r)]"
1579,,11.0,as,adv.&conj.,像……一样；同样；一样；如同；因为,"[æz , əz]"
1580,,12.0,since,conj.,从……以来，……以后，由于,[sɪns]
1581,,13.0,reason,n.,理由，原因,[ˈriːzn]
1582,,2.0,for,prep.,为了……；与……交换；因为…… conj. 因为；由于,"[fɔː(r) , fə(r)]"
1583,,3.0,so,conj.,因此；所以,[səʊ]
1584,,5.0,result,n.,结果，效果,[rɪˈzʌlt]
1585,,1.0,if,conj.,如果，假使；是否，是不是,[ɪf]
1586,,5.0,so,adv.,如此；这么,[səʊ]
1587,,7.0,different,adj.,不同的，有差异的,[ˈdɪfrənt]
1588,,9.0,difference,n.,不同,[ˈdɪfrəns]
1589,,11.0,than,conj.,比,"[ðæn , ðən]"
1590,*,15.0,similar,adj.,相似的，像；性格类似于；效仿,[ˈsɪmələ(r)]
1591,,17.0,fit,adj.,健康的，合适的 v. （使）适合，安装,[fɪt]
1592,,19.0,proper,adj.,恰当的，合适的,[ˈprɒpə(r)]
1593,,1.0,though,conj.,虽然，可是,[ðəʊ]
1594,,2.0,although,conj.,虽然，尽管,[ɔːlˈðəʊ]
1595,,4.0,whatever,conj.&n.,无论什么，不管什么,[wɒtˈevə(r)]
1596,,5.0,but,conj.,但是；可是,"[bət , bʌt]"
1597,,6.0,however,adv.,可是，然而，尽管如此 conj. 然而，可是,[haʊˈevə(r)]
0,,,selenium,,,[səˈliːniəm]
0,,,took,,,[tʊk]
0,,,were,,,[wə(r)]
0,,,here,,,[hɪə(r)]
0,,,there,,,[ðeə(r)]
0,,,where,,,[weə(r)]
0,,,cute,,,[kjuːt]
0,,,bath,,,[bɑːθ]
0,,,past,,,[pɑːst]
0,,,sharp,,,[ʃɑːp]
0,,,bar,,,[bɑː(r)]
0,,,tooth,,,[tuːθ]
0,,,wild,,,[waɪld]
0,,,hippo,,,[ˈhɪpəʊ]
0,,,come,,,[kʌm]
0,,,other,,,[ˈʌðə(r)]
0,,,no,,,"[nəʊ , nəʊz]"
0,,,those,,,[ðəʊz]
0,,,these,,,[ðiːz]
0,,,this,,,[ðɪs]
0,,,roof,,,[ruːf]
0,,,glue,,,[ɡluː]
0,,,clue,,,[kluː]
0,,,sugar,,,[ˈʃʊɡə(r)]
0,,,bull,,,[bʊl]
0,,,run,,,[rʌn]
0,,,does,,,[dʌz]
0,,,some,,,"[səm , sʌm]"
0,,,won,,,[wʌn]
0,,,hop,,,[hɒp]
0,,,any,,,[ˈeni]
0,,,went,,,[went]
0,,,peach,,,[piːtʃ]
0,,,bean,,,[piːtʃ]
0,,,fifteen,,,[ˌfɪfˈtiːn]
0,,,five,,,[faɪv]
0,,,off,,,[ɒf]
0,,,lights,,,[laɪts]
0,,,parts,,,[pɑːts]
0,,,rabbits,,,[ˈræbɪts]
0,,,boats,,,[bəʊts]
0,,,beds,,,[bedz]
0,,,hands,,,[hændz]
0,,,clouds,,,[klaʊdz]
0,,,cards,,,[kɑːdz]
0,,,waiter,,,[ˈweɪtə(r)]
0,,,along,,,[əˈlɒŋ]
0,,,supper,,,[ˈsʌpə(r)]
0,,,number,,,[ˈnʌmbə(r)]
0,,,tall,,,[tɔːl]
0,,,three,,,[θriː]
0,,,happy,,,[ˈhæpi]
0,,,fifty,,,[ˈfɪfti]
0,,,teeth,,,[tiːθ]
0,,,autumn,,,[ˈɔːtəm]
0,,,August,,,[ˈɔːɡəst]
0,,,her,,,[hə(r)]
0,,,writer,,,[ˈraɪtə(r)]
0,,,each,,,[iːtʃ]
0,,,champion,,,[ˈtʃæmpiən]
0,,,age,,,[eɪdʒ]
0,,,television,,,[ˈtelɪvɪʒn]
0,,,would,,,"[wʊd , wəd]"
0,,,he,,,"[hi , hiː]"
0,,,me,,,[mi]
0,,,we,,,[wi; wiː]
0,,,saw,,,[sɔː]
0,,,colour,,,[ˈkʌlə(r)]
0,,,young,,,[jʌŋ]
0,,,date,,,[deɪt]
0,,,coo,,,[kuː]
0,,,l,,,[el]
0,,,C,,,[siː]
0,,,feet,,,[fiːt]
0,,,third,,,[θɜːd]
0,,,birthday,,,[ˈbɜːθdeɪ]
0,,,overcome,,,[ˌəʊvəˈkʌm]
0,,,how,,,[haʊ]
0,,,what,,,[wɒt]
0,,,snow,,,[snəʊ]
0,,,birth,,,[bɜːθ]
0,,,born,,,[bɔːn]
0,,,background,,,[ˈbækɡraʊnd]
0,,,fat,,,[fæt]
0,,,lazy,,,[ˈleɪzi]
0,,,friendly,,,[ˈfrendli]
0,,,shy,,,[ʃaɪ]
0,,,brave,,,[breɪv]
0,,,honest,,,[ˈɒnɪst]
0,,,policeman,,,[pəˈliːsmən]
0,,,policewoman,,,[pəˈliːswʊmən]
0,,,regard,,,[rɪˈɡɑːd]
0,,,labour,,,[ˈleɪbə(r)]
0,,,magazine,,,[ˌmæɡəˈziːn]
0,,,maths,,,[mæθs]
0,,,favourite,,,[ˈfeɪvərɪt]
0,,,expect,,,[ɪkˈspekt]
0,,,surprise,,,[səˈpraɪz]
0,,,public,,,[ˈpʌblɪk]
0,,,goodbye,,,[ˌɡʊdˈbaɪ]
0,,,Monday,,,[ˈmʌndeɪ]
0,,,Tuesday,,,[ˈtjuːzdeɪ]
0,,,Wednesday,,,[ˈwenzdeɪ]
0,,,Thursday,,,[ˈθɜːzdeɪ]
0,,,Friday,,,[ˈfraɪdeɪ]
0,,,Saturday,,,[ˈsætədeɪ]
0,,,Sunday,,,[ˈsʌndeɪ]
0,,,January,,,[ˈdʒænjuəri]
0,,,February,,,[ˈfebruəri]
0,,,March,,,[mɑːtʃ]
0,,,April,,,[ˈeɪprəl]
0,,,May,,,[meɪ]
0,,,June,,,[dʒuːn]
0,,,July,,,[dʒuˈlaɪ]
0,,,September,,,[sepˈtembə(r)]
0,,,October,,,[ɒkˈtəʊbə(r)]
0,,,November,,,[nəʊˈvembə(r)]
0,,,December,,,[dɪˈsembə(r)]
0,,,jacket,,,[ˈdʒækɪt]
0,,,salt,,,[sɔːlt]
0,,,foot,,,[fʊt]
0,,,windy,,,[ˈwɪndi]
0,,,season,,,[ˈsiːzn]
0,,,summer,,,[ˈsʌmə(r)]
0,,,winter,,,[ˈwɪntə(r)]
0,,,several,,,[ˈsevrəl]
0,,,few,,,[fjuː]
0,,,kilometre,,,[kɪˈlɒmɪtə(r)]
0,,,arrive,,,[əˈraɪv]
0,,,encourage,,,[ɪnˈkʌrɪdʒ]
0,,,textbook,,,[ˈtekstbʊk]
0,,,restless,,,[ˈrestləs]
0,,,best,,,[best]
0,,,vest,,,[vest]
0,,,restroom,,,[ˈrestruːm]
0,,,harvest,,,[ˈhɑːvɪst]
0,,,discount,,,[ˈdɪskaʊnt]
0,,,mount,,,[maʊnt]
0,,,witch,,,[wɪtʃ]
0,,,found,,,[faʊnd]
0,,,surround,,,[səˈraʊnd]
0,,,surrounding,,,[səˈraʊndɪŋ]
0,,,realize,,,[ˈriːəlaɪz]
0,,,really,,,[ˈriːəli]
0,,,alarm,,,[əˈlɑːm]
0,,,farmland,,,[ˈfɑːmlænd]
0,,,farther,,,[ˈfɑːðə(r)]
0,,,farthest,,,[ˈfɑːðɪst]
0,,,farming,,,[ˈfɑːmɪŋ]
0,,,less,,,[les]
0,,,reasonable,,,[ˈriːznəbl]
0,,,personally,,,[ˈpɜːsənəli]
